Team,1,2,3,4,5,6,7,8,9,R,H,E,R-9,W-L,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,Game_ID,10,11,12,13,14,15,16,17,18,19
SF,1,1,0,0,0,1,0,0,0,3,6,0,3,L,1,2,2,2,2,3,3,3,3,0,0,-1,-1,-1,0,-1,-1,-1,360406108,,,,,,,,,,
MIL,1,1,1,0,0,0,1,0,-,4,9,2,4,W,1,2,3,3,3,3,4,4,4,0,0,1,1,1,0,1,1,1,360406108,,,,,,,,,,
SEA,2,1,0,0,0,0,1,0,5,9,14,0,9,W,2,3,3,3,3,3,4,4,9,2,1,1,1,1,-2,-1,-1,4,360406113,,,,,,,,,,
TEX,0,2,0,0,0,3,0,0,0,5,7,0,5,L,0,2,2,2,2,5,5,5,5,-2,-1,-1,-1,-1,2,1,1,-4,360406113,,,,,,,,,,
COL,2,0,1,0,0,0,1,0,0,4,8,1,4,W,2,2,3,3,3,3,4,4,4,2,2,1,1,1,1,2,2,1,360406129,,,,,,,,,,
ARI,0,0,2,0,0,0,0,0,1,3,8,0,3,L,0,0,2,2,2,2,2,2,3,-2,-2,-1,-1,-1,-1,-2,-2,-1,360406129,,,,,,,,,,
DET,0,2,0,0,0,3,0,2,0,7,13,0,7,W,0,2,2,2,2,5,5,7,7,0,2,2,2,2,3,3,5,4,360406128,,,,,,,,,,
MIA,0,0,0,0,0,2,0,0,1,3,10,1,3,L,0,0,0,0,0,2,2,2,3,0,-2,-2,-2,-2,-3,-3,-5,-4,360406128,,,,,,,,,,
BOS,0,2,0,0,0,4,0,0,0,6,10,1,6,L,0,2,2,2,2,6,6,6,6,-4,-3,-3,-3,-3,0,-1,-1,-1,360406105,,,,,,,,,,
CLE,4,1,0,0,0,1,1,0,-,7,9,0,7,W,4,5,5,5,5,6,7,7,7,4,3,3,3,3,0,1,1,1,360406105,,,,,,,,,,
PHI,2,0,0,0,0,0,0,0,0,2,5,0,2,L,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,-1,360406117,,,,,,,,,,
CIN,1,0,0,0,0,0,0,0,2,3,8,0,3,W,1,1,1,1,1,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,360406117,,,,,,,,,,
MIN,0,0,1,0,0,1,0,0,0,2,5,0,2,L,0,0,1,1,1,2,2,2,2,0,-1,-1,-2,-3,-2,-2,-2,-2,360406101,,,,,,,,,,
BAL,0,1,1,1,1,0,0,0,-,4,9,0,4,W,0,1,2,3,4,4,4,4,4,0,1,1,2,3,2,2,2,2,360406101,,,,,,,,,,
HOU,1,4,0,0,1,0,0,0,0,6,12,1,6,L,1,5,5,5,6,6,6,6,6,-5,-4,-7,-7,-6,-7,-10,-10,-10,360406110,,,,,,,,,,
NYY,6,3,3,0,0,1,3,0,-,16,17,0,16,W,6,9,12,12,12,13,16,16,16,5,4,7,7,6,7,10,10,10,360406110,,,,,,,,,,
STL,0,0,0,0,0,1,0,0,0,1,4,3,1,L,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-4,-4,-4,-4,-4,360406123,,,,,,,,,,
PIT,1,0,0,0,3,1,0,0,-,5,9,0,5,W,1,1,1,1,4,5,5,5,5,1,1,1,1,4,4,4,4,4,360406123,,,,,,,,,,
WSH,0,0,0,0,0,0,3,0,0,3,8,0,3,W,0,0,0,0,0,0,3,3,3,0,0,0,-1,-1,-1,2,2,2,360406115,,,,,,,,,,
ATL,0,0,0,1,0,0,0,0,0,1,8,1,1,L,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,-2,-2,-2,360406115,,,,,,,,,,
LAD,4,0,0,1,0,0,0,1,1,7,11,1,7,W,4,4,4,5,5,5,5,6,7,4,4,4,5,5,5,5,6,7,360406125,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,5,0,0,L,0,0,0,0,0,0,0,0,0,-4,-4,-4,-5,-5,-5,-5,-6,-7,360406125,,,,,,,,,,
CHW,0,0,1,0,0,0,0,0,0,1,6,0,1,L,0,0,1,1,1,1,1,1,1,-1,-2,-1,-1,-1,-1,-1,-1,-1,360406111,,,,,,,,,,
OAK,1,1,0,0,0,0,0,0,-,2,7,0,2,W,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,360406111,,,,,,,,,,
PHI,0,0,1,1,2,0,0,2,0,6,9,1,6,L,0,0,1,2,4,4,4,6,6,0,0,0,-7,-5,-5,-6,-4,-4,360407117,,,,,,,,,,
CIN,0,0,1,8,0,0,1,0,-,10,12,1,10,W,0,0,1,9,9,9,10,10,10,0,0,0,7,5,5,6,4,4,360407117,,,,,,,,,,
CHW,0,0,0,0,0,2,0,0,4,6,10,1,6,W,0,0,0,0,0,2,2,2,6,0,0,0,0,0,2,2,2,5,360407111,,,,,,,,,,
OAK,0,0,0,0,0,0,0,0,1,1,4,2,1,L,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,-2,-2,-5,360407111,,,,,,,,,,
HOU,0,3,0,2,0,0,0,0,0,5,9,1,5,L,0,3,3,5,5,5,5,5,5,0,2,1,1,0,0,-3,-3,-3,360407110,,,,,,,,,,
NYY,0,1,1,2,1,0,3,0,-,8,12,0,8,W,0,1,2,4,5,5,8,8,8,0,-2,-1,-1,0,0,3,3,3,360407110,,,,,,,,,,
MIA,3,0,1,0,1,0,1,0,0,6,13,1,6,W,3,3,4,4,5,5,6,6,6,0,0,1,1,2,2,2,2,2,360407120,,,,,,,,,,
WSH,3,0,0,0,0,0,1,0,0,4,6,1,4,L,3,3,3,3,3,3,4,4,4,0,0,-1,-1,-2,-2,-2,-2,-2,360407120,,,,,,,,,,
LAD,0,2,1,0,1,0,0,2,0,6,13,1,6,L,0,2,3,3,4,4,4,6,6,0,2,3,3,1,-3,-3,-6,-6,360407126,,,,,,,,,,
SF,0,0,0,0,3,4,0,5,-,12,17,0,12,W,0,0,0,0,3,7,7,12,12,0,-2,-3,-3,-1,3,3,6,6,360407126,,,,,,,,,,
MIN,1,1,0,0,0,0,0,0,0,2,9,0,2,L,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,-1,-2,-2,360407101,,,,,,,,,,
BAL,0,0,0,0,0,1,2,1,-,4,8,1,4,W,0,0,0,0,0,1,3,4,4,-1,-2,-2,-2,-2,-1,1,2,2,360407101,,,,,,,,,,
CHC,0,2,2,5,0,0,1,0,4,14,14,0,14,W,0,2,4,9,9,9,10,10,14,-3,-2,-2,3,3,3,4,4,8,360407129,,,,,,,,,,
ARI,3,1,2,0,0,0,0,0,0,6,8,2,6,L,3,4,6,6,6,6,6,6,6,3,2,2,-3,-3,-3,-4,-4,-8,360407129,,,,,,,,,,
TEX,1,0,1,0,0,0,1,0,0,3,4,0,3,L,1,1,2,2,2,2,3,3,3,1,1,1,1,-1,-1,0,0,-1,360407103,,,,,,,,,,
LAA,0,0,1,0,2,0,0,0,1,4,11,1,4,W,0,0,1,1,3,3,3,3,4,-1,-1,-1,-1,1,1,0,0,1,360407103,,,,,,,,,,
NYY,0,0,0,0,0,0,0,0,0,0,3,0,0,L,0,0,0,0,0,0,0,0,0,-1,-1,-1,-3,-3,-3,-4,-4,-4,360408106,,,,,,,,,,
DET,1,0,0,2,0,0,1,0,-,4,13,0,4,W,1,1,1,3,3,3,4,4,4,1,1,1,3,3,3,4,4,4,360408106,,,,,,,,,,
PHI,0,0,0,0,0,1,0,1,0,2,8,1,2,L,0,0,0,0,0,1,1,2,2,0,-1,-1,-1,-1,-2,-6,-5,-5,360408121,,,,,,,,,,
NYM,0,1,0,0,0,2,4,0,-,7,9,1,7,W,0,1,1,1,1,3,7,7,7,0,1,1,1,1,2,6,5,5,360408121,,,,,,,,,,
CLE,3,2,0,0,2,0,0,0,0,7,9,0,7,W,3,5,5,5,7,7,7,7,7,3,5,5,4,6,6,6,6,6,360408104,,,,,,,,,,
CHW,0,0,0,1,0,0,0,0,0,1,3,1,1,L,0,0,0,1,1,1,1,1,1,-3,-5,-5,-4,-6,-6,-6,-6,-6,360408104,,,,,,,,,,
SD,0,0,0,6,3,2,0,0,2,13,18,0,13,W,0,0,0,6,9,11,11,11,13,0,-2,-2,1,4,6,6,6,7,360408127,,,,,,,,,,
COL,0,2,0,3,0,0,0,0,1,6,9,0,6,L,0,2,2,5,5,5,5,5,6,0,2,2,-1,-4,-6,-6,-6,-7,360408127,,,,,,,,,,
TB,1,0,0,0,0,0,0,0,0,1,5,0,1,L,1,1,1,1,1,1,1,1,1,1,0,0,-1,-5,-5,-5,-5,-5,360408101,,,,,,,,,,
BAL,0,1,0,1,4,0,0,0,-,6,10,0,6,W,0,1,1,2,6,6,6,6,6,-1,0,0,1,5,5,5,5,5,360408101,,,,,,,,,,
BOS,0,1,1,0,0,4,2,0,0,8,11,0,8,W,0,1,2,2,2,6,8,8,8,-1,0,1,-5,-5,-1,1,1,1,360408114,,,,,,,,,,
TOR,1,0,0,6,0,0,0,0,0,7,9,1,7,L,1,1,1,7,7,7,7,7,7,1,0,-1,5,5,1,-1,-1,-1,360408114,,,,,,,,,,
PIT,0,1,0,0,1,0,0,4,0,6,8,3,6,W,0,1,1,1,2,2,2,6,6,-2,-1,-2,-2,-1,-2,-3,1,1,360408117,,,,,,,,,,
CIN,2,0,1,0,0,1,1,0,0,5,6,3,5,L,2,2,3,3,3,4,5,5,5,2,1,2,2,1,2,3,-1,-1,360408117,,,,,,,,,,
STL,0,0,0,3,0,0,1,1,2,7,11,2,7,W,0,0,0,3,3,3,4,5,7,0,0,-4,-1,-1,-1,0,1,3,360408115,,,,,,,,,,
